year,Argentina,Australia,Austria,Belgium,Bhutan,Brazil,Bulgaria,Canada,Chile,China,Denmark,Finland,France,Greece,Greenland,Guinea-Bissau,Hong Kong,India,Indonesia,Ireland,Italy,Japan,Liberia,Malaysia,Mauritania,Mexico,Netherlands,New Zealand,Norway,Philippines,Portugal,Romania,Samoa,Singapore,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Arab Emirates,United Kingdom,United States,Venezuela
1980,462.412,387.24,202.8852,256.6978,0.484013,1401.245,66.9321,714.6080000000001,84.9847,758.4630000000001,146.4168,113.2388,1427.0929999999998,216.8218,2.50981,1.04701,85.7593,974.3969999999999,450.97900000000004,57.1076,1460.263,2586.224,9.82138,115.5948,5.11291,1004.9960000000001,411.26199999999994,67.5595,152.25,227.4088,168.8204,261.6621,0.52267,53.9348,334.61300000000006,210.368,747.0889999999999,222.745,269.0296,153.7388,188.6325,395.2709,211.90900000000002,1234.087,7078.0,276.9377
1981,438.233,403.23699999999997,202.6132,257.0732,0.5513279999999999,1339.7579999999998,70.1101,739.4580000000001,88.986,797.145,145.11,114.6815,1442.767,213.4477,2.5265,1.2372299999999998,93.6428,1032.827,484.523,58.6902,1473.711,2696.123,9.61154,123.6206,5.2893300000000005,1090.8110000000001,409.15,70.7049,154.5901,232.2409,168.8204,263.6351,0.475314,59.7685,352.5508,225.4735,746.087,225.2616,273.3376,164.666,199.7717,414.4618,218.02,1224.366,7257.61,275.9329
1982,424.394,404.0458,206.4848,258.5656,0.570149,1347.545,71.7437,715.8810000000001,79.77409,868.888,149.4857,118.23299999999999,1477.606,211.0352,2.4148400000000003,1.2892,96.346,1069.744,482.56699999999995,59.4657,1478.509,2785.973,9.3777,131.0072,5.16556,1085.121,403.9011,71.3622,154.94,240.6464,168.8204,274.1623,0.47063699999999997,64.0131,351.1991,244.1089,755.39,228.0959,269.7585,172.56599999999997,210.4667,429.2271,199.88400000000001,1248.7910000000002,7126.8,270.2184
1983,441.844,401.4124,212.1478,259.5928,0.634638,1301.681,74.2095,734.505,76.7859,962.7289999999999,153.249,121.8611,1496.4379999999999,208.7598,2.4983299999999997,1.24539,102.141,1140.616,525.388,59.5429,1498.704,2883.7859999999996,9.19983,139.155,5.35851,1047.208,411.00199999999995,73.85341,160.6616,245.1575,168.8204,290.8815,0.472975,69.4893,344.7141,276.434,768.7589999999999,232.7519,271.4825,188.1722,222.2201,450.5572,194.674,1301.512,7453.46,264.4034
1984,450.676,428.222,212.9502,265.0499,0.663083,1371.568,76.7243,777.908,82.9329,1109.063,159.9787,125.5014,1521.305,212.9488,2.36892,1.35883,112.3572,1196.424,565.183,61.7412,1546.816,3015.9590000000003,9.005930000000001,149.9563,5.1856,1082.875,423.81699999999995,77.39359,170.6994,227.2031,168.8204,308.0785,0.48233000000000004,75.5988,362.2915,305.3015,782.4760000000001,243.0916,279.65,207.0805,234.9956,480.7969,203.356,1331.0439999999999,7992.89,271.1558
1985,419.353,449.79699999999997,217.74200000000002,269.9462,0.69101,1480.443,78.792,814.7639999999999,88.833,1257.677,166.8324,129.5522,1546.5620000000001,218.3008,2.45554,1.41545,113.1603,1245.649,587.256,65.3867,1590.739,3171.143,8.93,148.2703,5.3409,1106.407,435.07599999999996,78.6435,180.6876,210.6021,168.8204,307.7768,0.510393,75.1282,357.9022,328.9615,800.6439999999999,248.7933,289.9231,217.0349,245.9252,501.1911,198.34,1386.249,8326.09,271.68
1986,449.286,459.337,222.8994,274.9493,0.77207,1604.921,82.1302,832.23,93.8024,1369.611,172.9202,133.1192,1581.5279999999998,219.4246,2.62982,1.40421,125.7255,1298.835,629.472,65.6113,1637.9920000000002,3277.512,8.7801,149.9793,5.64605,1071.969,448.676,80.49009000000001,188.1789,217.798,172.7581,315.1648,0.534363,76.13691,357.9662,365.8845,826.691,256.185,295.3118,242.0278,259.5608,536.351,156.28,1429.921,8614.41,289.3674
1987,460.926,482.226,226.5468,281.4747,0.993626,1658.349,87.1555,866.12,99.8682,1529.855,173.4205,137.938,1622.368,214.4725,2.77488,1.4449299999999998,142.5672,1347.144,670.841,68.517,1686.4379999999999,3430.6220000000003,8.69214,158.0628,5.75335,1090.5819999999999,456.977,81.2428,191.3932,227.1885,182.3936,317.6992,0.5372859999999999,84.35799999999999,365.4861,411.4995,872.562,264.3605,299.9939,272.7714,284.2871,587.219,161.875,1507.0320000000002,8912.44,299.7315
1988,452.19599999999997,502.23,236.6366,294.3257,1.04318,1654.194,96.5811,904.318,107.1398,1701.1989999999998,179.1295,145.0481,1696.6029999999998,223.6688,2.93037,1.5114,154.7018,1461.774,717.659,71.584,1758.951,3666.941,8.514660000000001,173.77,5.85233,1104.391,477.931,82.1148,190.4195,242.5297,187.0316,316.14599999999996,0.552487,93.86,380.8368,460.48900000000003,917.0,270.2779,309.8264,294.6435,322.0426,600.847,161.489,1593.421,9284.7,317.1798
1989,420.82800000000003,525.462,246.4461,304.9745,1.1207200000000002,1707.681,93.2674,925.2739999999999,118.7288,1772.648,179.4059,152.9046,1772.369,232.1662,3.12552,1.60359,158.2244,1565.4370000000001,782.8560000000001,76.03909,1820.0739999999998,3842.447,6.24395,189.5129,6.1319300000000005,1150.004,499.343,83.3445,192.387,257.5794,197.1916,297.8262,0.584642,103.3949,389.9572,492.85900000000004,961.2589999999999,277.2192,323.2445,320.4228,361.2945,602.592,186.185,1634.494,9625.71,289.998
1990,413.1269,533.3530000000001,256.7894,314.39799999999997,1.24261,1644.2089999999998,84.7329,926.7869999999999,123.2306,1841.783,180.1497,152.3082,1826.106,232.1665,2.75922,1.7014099999999999,164.2855,1651.4920000000002,853.33,86.2278,1855.6029999999998,4031.449,3.05761,206.5848,6.0233099999999995,1209.395,520.203,84.2252,196.0945,265.4019,206.6,281.1856,0.547225,113.5493,388.7179,541.215,997.6360000000001,279.6986,335.1224,338.5123,401.6161,658.428,218.792,1646.487,9807.26,308.7549
1991,456.8281,527.969,265.3158,320.0593,1.2375399999999999,1661.371,77.5902,907.456,132.8799,2013.069,182.5009,143.303,1844.328,239.368,2.75609,1.7881900000000002,173.653,1690.79,929.5189999999999,87.9259,1892.8570000000002,4169.06,2.6226599999999998,226.6694,6.13101,1260.113,532.956,82.39909,202.1624,263.8671,211.6378,244.917,0.533778,121.14399999999999,384.7597,597.252,1023.0110000000001,276.8834,332.0534,366.8099,435.991,663.172,220.52900000000002,1628.3239999999998,9796.64,338.7964
1992,500.713,541.514,270.5034,324.3211,1.2944799999999999,1652.145,71.9965,915.627,148.88299999999998,2300.601,186.0723,138.5429,1871.808,241.0369,2.61521,1.80785,184.4801,1764.5510000000002,990.1469999999999,90.9241,1906.096,4206.97,1.70248,246.8304,6.24592,1305.088,541.427,83.116,209.412,264.7579,215.6524,223.3091,0.555995,129.1875,376.5374,634.135,1032.529,274.0546,331.908,397.2306,471.23900000000003,696.565,226.50799999999998,1634.855,10141.71,359.3291
1993,524.615,562.64,272.689,322.0748,1.32019,1733.265,70.984,939.9910000000001,159.1806,2619.851,186.0923,137.5888,1860.129,237.1822,2.48372,1.84582,195.9198,1863.155,1068.922,93.27101,1889.743,4182.91,1.14109,271.2525,6.61278,1338.254,548.271,87.1672,215.2868,270.361,212.6884,226.622,0.565349,143.9962,381.1821,677.553,1021.8860000000001,267.3087,331.4898,424.251,510.13,749.863,231.49099999999999,1675.5610000000001,10420.89,360.3186
1994,555.231,590.165,279.3459,332.6764,1.3855600000000001,1834.463,72.2977,982.2410000000001,168.2282,2960.8140000000003,196.0155,143.0017,1903.61,241.9253,2.6308599999999998,1.9048900000000002,207.7457,1978.9260000000002,1149.518,98.45299999999999,1932.8529999999998,4224.88,0.8927649999999999,296.2482,6.41038,1404.267,564.765,92.9837,226.0637,282.2234,217.9482,235.4628,0.601597,159.9763,393.5095,739.929,1046.221,277.5685,335.6991,456.045,550.925,714.857,247.456,1740.0020000000002,10840.76,351.8529
1995,539.434,606.943,287.4092,342.8002,1.48358,1912.094,74.2806,1008.683,186.2829,3285.428,201.9501,148.9343,1945.525,246.1784,2.72896,1.9887,212.6772,2118.876,1244.011,105.9655,1987.4,4340.33,0.854677,325.3748,7.03987,1315.954,583.141,97.0236,235.6103,295.4277,231.8745,241.6228,0.640768,171.4962,405.77099999999996,810.7439999999999,1079.031,289.2848,337.3134,485.694,595.6619999999999,771.175,264.005,1784.047,11131.74,365.7569
