country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.11199999999999999,0.168,0.168,0.17800000000000002,0.17800000000000002,0.18899999999999997,0.18899999999999997,0.19899999999999998,0.19899999999999998,0.20199999999999999,0.20199999999999999,0.20199999999999999,0.20199999999999999,0.20199999999999999,0.20199999999999999,0.20199999999999999,0.2,0.2,0.2,0.205,0.115,0.115,0.115,0.115,0.115,0.15,0.14,0.14,0.147,0.22,0.22,0.255,0.255,0.268,0.268,0.268,0.284,0.284
Albania,0.095,0.095,0.09,0.09,0.085,0.085,0.085,0.087,0.087,0.087,0.22399999999999998,0.22399999999999998,0.22399999999999998,0.22399999999999998,0.22399999999999998,0.22399999999999998,0.239,0.239,0.239,0.239,0.239,0.22399999999999998,0.22399999999999998,0.33399999999999996,0.22399999999999998,0.16,0.16,0.16,0.12300000000000001,0.0,0.0,0.0,0.09699999999999999,0.098,0.098,0.098,0.098,0.098
Algeria,2.021,2.524,2.9019999999999997,3.1510000000000002,3.261,3.451,3.551,3.6510000000000002,4.371,4.371,4.371,5.083,5.083,5.539,5.732,5.732,5.763999999999999,5.765,5.77,5.77,6.124,6.12,6.555,6.565,6.971,7.2170000000000005,7.617000000000001,7.852,7.852,11.05,11.05,11.145,12.720999999999998,14.715,15.568,16.76,18.55,18.742
American Samoa,0.03,0.032,0.028999999999999998,0.025,0.025,0.031,0.031,0.031,0.033,0.033,0.033,0.033,0.033,0.033,0.035,0.035,0.035,0.035,0.035,0.035,0.05,0.057999999999999996,0.057999999999999996,0.057999999999999996,0.06,0.045,0.045,0.045,0.045,0.045,0.045,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.042,0.042,0.042
Angola,0.2,0.2,0.2,0.2,0.2,0.2,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.29600000000000004,0.29600000000000004,0.29600000000000004,0.29600000000000004,0.29600000000000004,0.29600000000000004,0.235,0.235,0.235,0.33299999999999996,0.33299999999999996,0.345,0.657,0.657,0.657,0.657,0.77,0.77,0.77,0.77,1.09,1.28,1.28
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.024,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.055,0.055,0.055,0.055,0.055,0.055,0.084,0.084,0.12,0.12,0.12,0.12,0.12
Argentina,8.389,8.458,8.988999999999999,8.894,9.05,9.021,8.984,8.988,9.542,9.542,9.57,9.844,9.857999999999999,10.026,10.259,10.892000000000001,10.81,11.591,12.884,12.886,15.322000000000001,16.882,17.017,17.73,17.305999999999997,17.319000000000003,17.377,18.125999999999998,19.926,20.976,21.756,21.783,23.82,23.897,23.71,25.541,25.314,25.314
Australia,18.039,19.685,21.683000000000003,22.302,24.566999999999997,25.781999999999996,26.2,27.329,27.558000000000003,27.784000000000002,29.798000000000002,29.362,29.927,31.051,32.591,33.225,33.867,34.504,35.141,36.345,36.523,37.122,39.746,40.857,40.855,40.058,40.413000000000004,42.708,43.483999999999995,45.806000000000004,48.746,49.218,49.55,49.354,49.88,48.88399999999999,46.96,45.187
Austria,4.724,4.731,4.7330000000000005,4.883,4.765,4.93,5.22,5.73,4.987,4.923,5.332999999999999,5.347,5.73,5.662000000000001,5.769,5.584,5.522,5.684,5.226,5.361000000000001,5.3420000000000005,5.617000000000001,5.444,5.114,5.36,4.441,4.177,3.7119999999999997,4.646,4.562,4.494,5.257999999999999,5.705,5.875,5.75,5.526,5.172999999999999,4.617
Bahrain,0.588,0.588,0.738,1.047,1.062,1.082,1.082,1.04,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.08,1.1,1.1,1.1,1.163,1.349,1.379,2.506,2.6289999999999996,1.849,2.319,2.767,2.7769999999999997,2.7769999999999997,3.168,3.168,3.168,3.9339999999999997,3.9339999999999997,3.9339999999999997,3.9219999999999997,3.9219999999999997,3.9219999999999997
Bangladesh,0.91,0.9009999999999999,0.895,0.9570000000000001,1.159,1.178,1.21,1.645,2.084,2.303,2.29,2.46,2.508,2.718,2.748,3.054,3.071,3.075,3.26,3.37,3.37,3.37,4.45,4.45,4.48,4.48,5.015,5.015,5.223,5.489,5.597,6.409,7.87,8.307,9.09,11.3,12.3,12.9
Barbados,0.094,0.094,0.094,0.094,0.094,0.095,0.1,0.132,0.132,0.14,0.14,0.14,0.153,0.153,0.153,0.153,0.166,0.165,0.166,0.166,0.18600000000000003,0.19,0.209,0.209,0.209,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.22399999999999998,0.22399999999999998,0.22399999999999998,0.22399999999999998
Belgium,8.219,8.176,8.156,7.776,7.519,7.361000000000001,7.3,7.225,7.194,7.206,7.0360000000000005,6.977,6.899,6.898,7.7010000000000005,7.577999999999999,7.477,7.301,7.977,8.13,8.242,8.017999999999999,7.986000000000001,7.965,7.9479999999999995,8.024,8.046,8.06,8.229,8.345,8.281,9.023,8.241,7.746,7.505,7.38,7.525,7.404
Belize,0.021,0.021,0.021,0.021,0.021,0.022000000000000002,0.022000000000000002,0.023,0.023,0.023,0.023,0.04,0.043,0.046,0.048,0.049,0.044000000000000004,0.042,0.033,0.033,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.049,0.044000000000000004,0.043,0.037000000000000005,0.036000000000000004,0.037000000000000005,0.06,0.091,0.091,0.091,0.08800000000000001,0.099,0.099,0.1,0.1
Benin,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.027000000000000003,0.027000000000000003,0.047,0.047,0.049,0.052000000000000005,0.052000000000000005,0.057,0.057,0.057,0.057,0.057999999999999996,0.059000000000000004,0.059000000000000004,0.17,0.17,0.17,0.17300000000000001,0.17300000000000001,0.207,0.244,0.312,0.312,0.312
Bermuda,0.11800000000000001,0.11800000000000001,0.11800000000000001,0.13699999999999998,0.149,0.149,0.12300000000000001,0.12,0.133,0.17,0.14,0.14,0.14,0.14,0.14,0.146,0.146,0.146,0.168,0.168,0.168,0.168,0.175,0.175,0.175,0.175,0.175,0.165,0.165,0.165,0.165,0.165,0.171,0.171,0.171,0.171,0.171,0.171
Bhutan,0.012,0.012,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.017,0.005,0.005,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.012,0.012,0.012,0.012,0.012,0.012,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.009000000000000001,0.011000000000000001,0.011000000000000001,0.008,0.009000000000000001,0.009000000000000001
Bolivia,0.225,0.23399999999999999,0.261,0.17600000000000002,0.174,0.174,0.174,0.305,0.303,0.327,0.39299999999999996,0.39299999999999996,0.39299999999999996,0.44799999999999995,0.498,0.49700000000000005,0.498,0.6579999999999999,0.701,0.945,0.9490000000000001,0.855,0.903,0.873,0.9590000000000001,0.9179999999999999,0.9179999999999999,1.014,1.014,1.041,1.157,1.188,1.3869999999999998,1.618,1.618,1.699,1.786,1.8119999999999998
Botswana,0.133,0.133,0.152,0.154,0.13,0.184,0.184,0.184,0.184,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.732,0.62,0.62,0.62
Brazil,4.106,4.1930000000000005,4.287,4.306,4.321000000000001,4.461,4.5569999999999995,4.602,4.683,4.67,4.784,4.808,4.734,4.882,4.939,4.948,5.209,5.1979999999999995,5.455,5.968,7.449,8.208,10.597999999999999,11.693,13.809000000000001,14.185,14.67,14.927,16.840999999999998,18.212,22.267,22.368000000000002,22.785999999999998,25.083000000000002,25.434,26.154,26.938000000000002,27.033
British Virgin Islands,0.005,0.005,0.01,0.01,0.01,0.012,0.012,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.039,0.042,0.042,0.042,0.042,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.044000000000000004
Brunei,0.158,0.24,0.24,0.24,0.24,0.285,0.28800000000000003,0.387,0.382,0.382,0.382,0.384,0.41700000000000004,0.469,0.475,0.65,0.7070000000000001,0.7070000000000001,0.769,0.77,0.763,0.7609999999999999,0.7609999999999999,0.86,0.8740000000000001,0.759,0.759,0.759,0.759,0.768,0.785,0.802,0.805,0.81,0.81,0.82,0.82,0.82
Bulgaria,5.843999999999999,5.843999999999999,5.978,6.063,6.507999999999999,6.507999999999999,6.507999999999999,6.507999999999999,6.574,6.415,6.396,7.207000000000001,7.148,7.148,7.148,7.148,7.148,7.087000000000001,7.087000000000001,6.553,6.3260000000000005,6.3260000000000005,6.3260000000000005,6.3260000000000005,6.532,6.682,6.417999999999999,4.902,4.647,4.372,4.578,4.543,4.912,4.7010000000000005,4.47,3.991,3.822,3.822
Burkina Faso,0.039,0.055,0.055,0.057999999999999996,0.077,0.077,0.06,0.068,0.065,0.065,0.06,0.064,0.069,0.045,0.048,0.048,0.08900000000000001,0.08900000000000001,0.08900000000000001,0.08900000000000001,0.08900000000000001,0.145,0.145,0.145,0.18100000000000002,0.204,0.223,0.217,0.22,0.21899999999999997,0.20600000000000002,0.22899999999999998,0.266,0.21600000000000003,0.253,0.293,0.293,0.293
Burundi,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.012,0.012,0.012,0.01,0.005,0.001,0.001,0.001,0.001,0.002,0.006999999999999999,0.005,0.005,0.006999999999999999,0.009000000000000001,0.009000000000000001,0.006999999999999999,0.006999999999999999
Cambodia,0.022000000000000002,0.022000000000000002,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.035,0.05,0.055,0.06,0.07,0.075,0.075,0.08,0.1,0.11,0.12,0.14,0.155,0.174,0.17600000000000002,0.21899999999999997,0.327,0.368,0.366,0.353,0.34600000000000003,0.36200000000000004,0.35700000000000004,0.47200000000000003,0.58,0.728,0.7509999999999999,0.7509999999999999
Cameroon,0.098,0.095,0.095,0.095,0.095,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.094,0.094,0.094,0.071,0.07,0.26,0.27,0.275,0.209,0.20600000000000002,0.203,0.218,0.303,0.28800000000000003,0.568,0.62,0.894,1.02,1.12,1.15,1.15
Canada,26.095,26.982,27.119,27.846,28.836,28.58,28.647,28.826,26.522,27.054000000000002,30.278000000000002,30.624000000000002,31.723000000000003,30.625,33.207,33.264,33.783,31.151999999999997,31.081999999999997,31.888,31.838,33.029,33.196999999999996,34.856,34.309,35.454,35.537,35.786,35.427,39.232,38.7,37.28,33.005,33.665,34.174,38.491,32.601,34.933
Cape Verde,0.003,0.004,0.004,0.004,0.006,0.006,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.018000000000000002,0.02,0.023,0.026000000000000002,0.028999999999999998,0.032,0.034,0.037000000000000005,0.039,0.042,0.045,0.051,0.079,0.077,0.077,0.077,0.069,0.07200000000000001,0.087,0.087,0.09300000000000001,0.1,0.102,0.109,0.121,0.129,0.136,0.136
