country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.262,0.259,0.259,0.272,0.272,0.281,0.281,0.29,0.29,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.38299999999999995,0.376,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.37417,0.31617,0.3321,0.3331,0.3181,0.3191,0.3501,0.3524
Albania,0.5,0.525,0.55,0.6,0.625,0.65,0.675,0.68,0.69,0.69,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.445,1.445,1.445,1.445,1.445,1.445,1.4451,1.4452,1.4452,1.4452,1.4322,1.4322,1.4322,1.4502,1.4502,1.4614,1.5090000000000001,1.629,1.7819999999999998,1.726,1.7990000000000002,1.9140000000000001,2.021
Algeria,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.28600000000000003,0.28600000000000003,0.28600000000000003,0.28600000000000003,0.275,0.275,0.275,0.275,0.275,0.27399999999999997,0.27399999999999997,0.27399999999999997,0.28,0.28,0.28,0.28,0.282,0.282,0.282,0.282,0.27699999999999997,0.27699999999999997,0.302,0.302,0.312,0.313,0.359,0.529,0.71
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.004,0.004
Angola,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41200000000000003,0.41200000000000003,0.41200000000000003,0.41200000000000003,0.41200000000000003,0.41200000000000003,0.41200000000000003,0.41200000000000003,0.41200000000000003,0.3,0.3,0.3,0.29,0.29,0.4,0.43,0.43,0.498,0.498,0.498,0.789,0.805,0.805,0.812,0.813,0.8859999999999999,0.948,1.015,1.016,1.3330000000000002,2.483
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0003,0.0004,0.0004,0.003,0.003,0.004,0.004
Argentina,4.185,4.652,4.8389999999999995,5.379,5.99,6.216,5.617000000000001,5.62,5.521,5.644,5.632999999999999,5.638,5.476,6.18,7.031000000000001,7.367000000000001,7.803,8.208,8.373,8.628,9.187000000000001,9.237,9.311,9.334,9.458,9.519,9.513,9.544,9.639,9.677999999999999,9.696,9.81,9.859,9.92,11.089,11.152000000000001,11.155,11.248
Australia,6.103,6.252999999999999,6.332999999999999,6.332999999999999,6.662999999999999,6.912999999999999,7.149,7.263999999999999,7.381,7.381,7.381,7.382000000000001,7.527,7.527,7.61,7.624,7.665,7.704,7.704,7.704,8.191,8.391,8.492,8.642999999999999,8.902000000000001,7.21,7.3660000000000005,7.824,7.973,8.2921,8.7531,10.0121,12.8491,14.2681,15.5701,16.6681,17.5041,18.6581
Austria,8.206,9.157,9.51,9.582,10.033999999999999,10.171,10.423,10.690999999999999,10.762,10.857999999999999,7.028,7.129,7.204,7.202000000000001,7.245,7.3229999999999995,7.385,7.54,7.685,7.669,8.618,8.765,8.672,9.315,9.621,10.492,10.985,11.423,11.487,11.609000000000002,11.764000000000001,12.145999999999999,12.425999999999998,12.634,13.085,13.747,14.42,14.659
