country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.374,0.42700000000000005,0.42700000000000005,0.45,0.45,0.47,0.47,0.489,0.489,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.49200000000000005,0.49200000000000005,0.49200000000000005,0.49700000000000005,0.40700000000000003,0.498,0.491,0.489,0.489,0.524,0.514,0.514,0.521,0.594,0.59417,0.57117,0.5871,0.6011,0.5861,0.5871,0.6341,0.6364
Albania,0.595,0.62,0.64,0.69,0.71,0.735,0.76,0.767,0.777,0.777,1.892,1.892,1.892,1.892,1.892,1.669,1.6840000000000002,1.6840000000000002,1.6840000000000002,1.6840000000000002,1.6840000000000002,1.6691,1.6692,1.7792,1.6692,1.5922,1.5922,1.5922,1.5732,1.4502,1.4614,1.5090000000000001,1.726,1.88,1.824,1.8969999999999998,2.012,2.119
Algeria,2.306,2.8089999999999997,3.187,3.4360000000000004,3.5460000000000003,3.736,3.8360000000000003,3.9360000000000004,4.656000000000001,4.657,4.657,5.369,5.369,5.814,6.007000000000001,6.007000000000001,6.039,6.04,6.044,6.044,6.398,6.4,6.835,6.845,7.251,7.499,7.899,8.134,8.134,11.327,11.327,11.447000000000001,13.023,15.027000000000001,15.880999999999998,17.119,19.079,19.452
American Samoa,0.03,0.032,0.028999999999999998,0.025,0.025,0.031,0.031,0.031,0.033,0.033,0.033,0.033,0.033,0.033,0.035,0.035,0.035,0.035,0.035,0.035,0.05,0.057999999999999996,0.057999999999999996,0.057999999999999996,0.06,0.045,0.045,0.045,0.045,0.045,0.045,0.040999999999999995,0.043,0.043,0.043,0.044000000000000004,0.046,0.046
Angola,0.6,0.6,0.6,0.6,0.6,0.6,0.605,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.708,0.596,0.596,0.596,0.586,0.586,0.635,0.665,0.665,0.831,0.831,0.843,1.446,1.462,1.462,1.469,1.5830000000000002,1.656,1.7180000000000002,1.785,2.106,2.613,3.763
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.0
Antigua and Barbuda,0.024,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.055,0.055,0.055,0.055,0.055,0.0551,0.0843,0.0844,0.1204,0.12300000000000001,0.12300000000000001,0.124,0.124
Argentina,12.909,13.445,14.163,15.208,15.975,16.172,16.51,16.517,16.972,17.095,17.112000000000002,17.391,17.243,18.115,19.199,20.168,20.522,21.708000000000002,23.166,23.423000000000002,26.418000000000003,28.028000000000002,28.237,28.973000000000003,28.673000000000002,28.747,28.799,29.579,31.474,32.563,33.361,33.501999999999995,35.588,35.726,37.4,39.299,39.075,39.169000000000004
Australia,24.142,25.938000000000002,28.016,28.635,31.23,32.695,33.349000000000004,34.593,34.939,35.165,38.119,37.684,38.394,39.518,41.141000000000005,41.788999999999994,42.472,43.148,44.335,45.538999999999994,46.20399999999999,47.003,49.728,50.99,51.173,49.878,50.388999999999996,53.141999999999996,54.067,56.7081,60.1091,61.8401,65.0091,66.2321,68.0601,68.1621,67.0741,66.4551
Austria,12.93,13.888,14.243,14.465,14.799000000000001,15.100999999999999,15.642999999999999,16.421,15.749,15.780999999999999,14.114,14.229000000000001,14.687000000000001,14.617,14.783,14.675999999999998,14.677,14.994000000000002,14.681,14.8,17.897000000000002,18.319000000000003,18.053,18.367,18.945999999999998,18.898,19.127,19.1,20.548000000000002,20.79,21.051,22.436999999999998,23.239,23.62,24.046,24.465999999999998,25.215999999999998,24.92
