country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.8760600000000001,0.92256,0.88536,0.93,0.9476700000000001,0.96162,1.05555,1.1327399999999999,1.0044,1.0127700000000002,1.02114,1.04477,0.76805,0.7296100000000001,0.75017,0.6854399999999999,0.62057,0.56407,0.5278,0.52315,0.5343100000000001,0.65056,0.7389100000000001,0.9732700000000001,0.93142,0.97362,1.21041,1.48878,1.4290493,2.0274330000000003,2.442759,3.033989,3.9191599999999998,4.59336,4.715330000000001,4.86338,5.5253,5.77722
Albania,2.9739999999999998,2.987,2.9810000000000003,2.975,2.977,3.0389999999999997,3.0269999999999997,3.4410000000000003,3.205,3.431,1.659,1.715,1.443,1.7269999999999999,2.017,2.1519999999999997,2.79,2.084,2.2,3.4819999999999998,3.758,3.549,4.546,4.111000000000001,3.778,3.739,2.991,3.694,4.053,4.302,4.6065,5.0868,4.3699,4.552,4.906000000000001,5.07,5.11,5.032
Algeria,5.915,6.712999999999999,7.733,8.207,8.959,9.686,10.343,11.119000000000002,11.954,12.19,12.734000000000002,13.034,14.035,14.039000000000001,14.365,14.474,15.172,15.365,16.905,18.492,19.715999999999998,20.648000000000003,21.624000000000002,23.612,24.425,27.516,26.910999999999998,28.335,30.5,28.315,33.8401,38.236999999999995,43.06100000000001,45.394,49.405,53.559,55.93,60.271
American Samoa,0.0651,0.062310000000000004,0.062310000000000004,0.06602999999999999,0.06417,0.07719,0.06975,0.07533,0.08463,0.0837,0.08742,0.09486,0.09486,0.10695,0.11345999999999999,0.11997000000000001,0.12462000000000001,0.13113,0.13671,0.14135999999999999,0.14787,0.14973,0.15624000000000002,0.16460999999999998,0.16460999999999998,0.16554000000000002,0.16833,0.17112,0.17390999999999998,0.16554000000000002,0.14787,0.14415,0.14601,0.14508,0.14508,0.15159,0.1581,0.15531
Angola,0.736,0.737,0.815,0.8320000000000001,0.86,0.826,0.8859999999999999,0.894,0.893,0.899,0.958,0.899,1.013,1.062,1.071,1.074,1.085,1.216,1.328,1.1059999999999999,1.193,1.3530000000000002,1.459,1.65,1.5959999999999999,2.068,2.8510000000000004,2.718,3.648,4.132,4.69,4.886,5.335,7.05,8.149,8.231,9.036,9.469
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00186,0.00186,0.00186,0.00186,0.00372,0.00372,0.00372,0.00093,0.00093,0.00093,0.00093,0.00093,0.0
Antigua and Barbuda,0.052079999999999994,0.05487,0.05766,0.06324,0.06602999999999999,0.06696,0.07533,0.07905,0.07998,0.08184,0.08277000000000001,0.08277000000000001,0.08277000000000001,0.08277000000000001,0.08463,0.08556,0.08556,0.08649,0.08835,0.08835,0.13113,0.14973,0.1674,0.18414,0.19344,0.21204,0.22599,0.24459,0.25203000000000003,0.28644000000000003,0.296856,0.296205,0.288765,0.288858,0.29443800000000003,0.30225,0.30596999999999996,0.30783
Argentina,36.845,35.594,36.003,35.484,37.739000000000004,37.373000000000005,39.01,42.152,42.22,39.924,37.105,39.655,45.292,48.407,49.934,54.938,57.928000000000004,62.78,67.908,70.43,73.23100000000001,75.39699999999999,72.47399999999999,79.113,83.65799999999999,88.613,97.92399999999999,100.3331,103.7511,104.1911,111.0731,114.54299999999999,118.272,118.052,123.67399999999999,128.9,128.57299999999998,124.85600000000001
Australia,78.227,81.717,88.35600000000001,89.59100000000001,95.546,99.889,106.969,111.64200000000001,120.921,128.119,135.404,137.996,140.13299999999998,143.988,147.502,152.334,156.54566,161.721,172.088,176.17700000000002,182.97,193.37099999999998,199.56099999999998,200.582,205.162,200.137,204.13099999999997,214.773,214.639,220.032,222.36,223.437,222.722,222.688,223.486,225.128,226.53900000000002,230.635
Austria,33.974000000000004,33.937,34.472,35.164,37.034,38.56,39.02,30.375999999999998,41.956,43.323,44.305,47.242,47.107,46.183,46.871,47.945,49.725,50.321999999999996,51.118,52.336000000000006,53.336000000000006,55.446999999999996,55.919,57.81100000000001,58.961000000000006,60.536,62.95399999999999,63.318999999999996,63.388999999999996,60.795,62.121,62.52,63.123000000000005,63.7334,62.7794,63.7771,64.7191,65.6081
