country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,0.5,0.525,0.55,0.575,0.6,0.583,0.63,0.8,0.735,0.631,0.11800000000000001,1.298,0.56,0.141,0.155,0.07400000000000001,0.38,0.8390000000000001,0.69,0.755,0.222,0.069,0.057999999999999996,0.326,0.27399999999999997,0.0,0.0,0.0,0.0,0.536,1.906,0.301,0.336,1.425,0.28800000000000003,0.956,1.869,0.488
Algeria,0.061,0.086,0.11599999999999999,0.127,0.096,0.158,0.162,0.17,0.182,0.26,0.303,0.7959999999999999,1.061,1.324,1.1909999999999998,0.491,0.42200000000000004,0.313,0.262,0.21,0.319,0.196,0.259,0.212,0.19699999999999998,0.275,0.3,0.273,0.32299999999999995,0.36200000000000004,0.8029999999999999,0.799,0.985,0.384,0.877,0.6409999999999999,0.507,0.88
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.002,0.003,0.006,0.006,0.005,0.006,0.006,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.054000000000000006,0.01,0.01,0.023,0.011000000000000001,0.22,0.3,0.27699999999999997,0.0,1.08,6.022,5.6610000000000005,2.8560000000000003,2.543,4.143,4.14,6.193,2.628,2.975,2.445,1.7009999999999998,1.262,0.506,0.303,0.166,0.055,0.32899999999999996,0.069
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,7.136,7.441,7.4639999999999995,7.893,6.725,7.77,7.426,9.606,8.283,8.246,7.297999999999999,7.7379999999999995,8.621,8.806000000000001,9.0,9.76,8.476,9.775,10.467,13.507,15.192,14.252,14.675999999999998,13.389000000000001,13.548,17.732,14.407,15.511,14.933,18.762,17.567,16.777,20.454,17.689,17.437,19.328,19.207,22.816999999999997
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.019,0.107,0.19,0.053,0.237,0.213,0.293,0.513
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,8.92,5.263999999999999,4.3180000000000005,4.356,4.143,5.542999999999999,5.521,7.778,7.832999999999999,7.607,8.509,6.845,5.721,5.359,5.07,5.3260000000000005,5.446000000000001,6.705,6.435,8.207,7.319,6.712000000000001,9.07,8.254,6.79,8.024,8.696,9.037,6.561,11.321,11.844000000000001,10.652000000000001,6.912000000000001,7.603,4.188,2.714,8.465,8.168
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.05,1.39,1.385,1.395,1.4,1.445,1.42,1.455,1.475,1.482,1.33,1.36,1.385,1.3980000000000001,1.4,1.561,1.845,1.624,1.714,2.526,5.372999999999999,5.922000000000001,5.405,5.58,5.273,4.896,5.557,5.044,5.542000000000001,5.779,5.069
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.003,0.003,0.003,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,0.196,0.332,0.20600000000000002,0.071,0.0,0.004,0.01,0.01,0.008,0.009000000000000001,0.006999999999999999,0.008,0.008,0.011000000000000001,0.0,0.0,0.008,0.008,0.008,0.005,0.004,0.006,0.01,0.006,0.006999999999999999,0.16,0.28300000000000003,2.0340000000000003,0.6890000000000001,1.08,1.2570000000000001,2.544,0.467,0.0,0.003,0.21899999999999997,0.518,0.156
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,0.866,1.095,1.794,2.221,2.2430000000000003,2.9560000000000004,1.47,0.9520000000000001,0.8490000000000001,0.71,1.656,0.96,0.584,1.52,1.23,2.121,2.252,4.335,4.211,3.627,5.584,8.017000000000001,8.335,6.772,6.62,8.38,8.882,7.5329999999999995,8.441,7.735,9.613,12.11,10.661,9.532,13.774000000000001,14.825999999999999,10.94,9.186
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,30.48,36.365,36.713,38.895,40.828,42.317,38.238,46.901,33.866,21.95,16.494,19.815,26.224,29.364,44.821999999999996,40.596,42.233000000000004,43.00899999999999,39.501999999999995,42.911,48.515,38.402,36.536,29.325,33.007,42.332,41.544,50.118,55.731,50.87,43.763000000000005,51.076,57.971000000000004,62.739,59.37,68.462,65.17399999999999,59.909
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
