country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.231,0.271,0.245,0.254,0.262,0.264,0.42200000000000004,0.462,0.336,0.33899999999999997,0.342,0.306,0.212,0.207,0.20199999999999999,0.196,0.188,0.177,0.16,0.155,0.155,0.094,0.132,0.309,0.32899999999999996,0.344,0.2,0.198,0.18600000000000003,0.162,0.185,0.252,0.174,0.218,0.154,0.14400000000000002,0.15,0.168
Albania,0.716,0.655,0.599,0.5429999999999999,0.496,0.46799999999999997,0.449,0.257,0.217,0.235,0.321,0.158,0.12300000000000001,0.16,0.125,0.19699999999999998,0.188,0.147,0.138,0.106,0.135,0.129,0.16399999999999998,0.10099999999999999,0.132,0.066,0.087,0.068,0.0,0.0,0.001,0.055,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,6.435,7.287999999999999,8.35,9.382,10.021,10.93,11.967,12.523,13.899000000000001,14.186,15.011,16.029,17.002,17.918,18.539,17.899,18.99,19.665,21.235,23.081,23.837,24.963,25.936,27.548000000000002,29.139,31.358,32.908,34.751999999999995,37.556,35.903,42.826,47.678999999999995,53.369,55.986000000000004,60.148999999999994,64.461,66.423,70.86
American Samoa,0.07,0.067,0.067,0.071,0.069,0.083,0.075,0.081,0.091,0.09,0.094,0.102,0.102,0.115,0.122,0.129,0.134,0.141,0.147,0.152,0.159,0.161,0.168,0.177,0.177,0.17800000000000002,0.18100000000000002,0.184,0.187,0.17800000000000002,0.159,0.155,0.157,0.156,0.156,0.163,0.17,0.16699999999999998
Angola,0.375,0.376,0.395,0.428,0.428,0.428,0.428,0.43700000000000006,0.43700000000000006,0.43700000000000006,0.451,0.451,0.451,0.451,0.456,0.456,0.461,0.465,0.47100000000000003,0.415,0.501,0.584,0.585,0.7090000000000001,0.45299999999999996,0.5329999999999999,0.603,0.677,0.961,1.5430000000000001,1.641,1.545,2.286,3.242,4.173,4.212,4.273,2.8819999999999997
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.055999999999999994,0.059000000000000004,0.062,0.068,0.071,0.07200000000000001,0.081,0.085,0.086,0.08800000000000001,0.08900000000000001,0.08900000000000001,0.08900000000000001,0.08900000000000001,0.091,0.092,0.092,0.09300000000000001,0.095,0.095,0.141,0.161,0.18,0.198,0.20800000000000002,0.228,0.243,0.263,0.271,0.308,0.319,0.318,0.31,0.31,0.316,0.32,0.32299999999999995,0.325
Argentina,22.221999999999998,21.338,20.423,19.904,19.175,17.719,20.921999999999997,22.364,29.585,30.522,20.91,25.022,27.555,28.061,25.479,31.02,36.825,34.01,37.536,48.629,50.053999999999995,42.638000000000005,39.330999999999996,46.563,56.97,59.456,63.818000000000005,71.263,76.176,73.782,77.348,76.45,84.17299999999999,83.738,83.44,91.205,92.93,90.70200000000001
Australia,74.538,78.934,83.193,85.971,91.686,97.054,101.93299999999999,108.54299999999999,117.095,124.164,131.785,132.303,135.249,137.882,141.812,147.688,151.84666,155.951,169.00799999999998,174.139,180.738,193.737,196.93400000000003,195.12,204.55200000000002,195.75,198.421,208.649,209.94799999999998,216.28,217.03900000000002,213.787,211.03799999999998,203.52,198.581,204.799,205.968,204.50799999999998
Austria,11.922,11.169,11.309000000000001,11.327,12.089,12.154000000000002,12.124,12.89,11.667,13.11,15.798,17.328,13.867,12.514000000000001,14.306,15.255,16.585,16.752,15.998,15.759,15.315,17.480999999999998,17.456,21.184,20.569000000000003,21.764,19.45,17.701,18.201,17.395,20.989,19.541,15.696,12.645,10.262,12.75,12.652000000000001,14.767000000000001
Bahrain,1.554,1.699,1.881,2.083,2.272,2.761,3.0180000000000002,3.117,3.273,3.281,3.281,3.285,3.662,3.989,4.277,4.335,4.715,4.738,5.4270000000000005,5.599,13.023,13.737,14.338,14.755,15.177,18.205,19.774,20.419,21.45,21.206999999999997,22.395,22.878,23.289,24.361,25.618000000000002,26.775,26.799,27.471999999999998
Bangladesh,2.04,2.503,2.7710000000000004,2.91,3.1910000000000003,3.883,4.395,5.071000000000001,5.82,6.129,6.742999999999999,7.606,8.232999999999999,8.703,9.169,9.808,10.091000000000001,10.470999999999998,11.296,12.8,13.936,15.415,16.543,17.471,22.051,24.156999999999996,27.86,28.445999999999998,31.366999999999997,34.6,37.657,40.684,44.918,48.961000000000006,51.802,54.79,63.658,67.619
Barbados,0.311,0.327,0.332,0.353,0.36,0.36700000000000005,0.38,0.4,0.423,0.415,0.44,0.499,0.509,0.518,0.542,0.579,0.611,0.65,0.672,0.718,0.758,0.7959999999999999,0.828,0.868,0.8959999999999999,0.953,0.976,1.003,1.011,1.023,0.966,0.986,1.061,0.955,0.9590000000000001,0.968,0.983,1.0
Belgium,38.286,34.889,32.148,25.934,24.186,20.158,16.817999999999998,18.774,19.864,23.894000000000002,24.98,25.644000000000002,25.131,25.385,27.71,28.925,28.676,27.487,32.436,30.826,30.836,28.396,29.61,32.171,32.556,32.977,31.598000000000003,32.454,30.35,33.593,35.514,29.305,27.583000000000002,24.666,22.500999999999998,24.897,23.465,23.968000000000004
Belize,0.051,0.052000000000000005,0.053,0.055,0.063,0.067,0.07,0.075,0.085,0.08900000000000001,0.102,0.11800000000000001,0.132,0.14800000000000002,0.135,0.102,0.086,0.092,0.087,0.086,0.071,0.043,0.046,0.098,0.079,0.08199999999999999,0.03,0.036000000000000004,0.011000000000000001,0.019,0.008,0.006999999999999999,0.013000000000000001,0.009000000000000001,0.008,0.019,0.013999999999999999,0.016
Benin,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.019,0.022000000000000002,0.023,0.024,0.048,0.028999999999999998,0.047,0.05,0.057999999999999996,0.066,0.077,0.06,0.057,0.073,0.075,0.1,0.141,0.204,0.212,0.11900000000000001,0.107,0.095,0.045,0.086,0.225,0.305,0.25,0.306
Bermuda,0.311,0.32,0.331,0.345,0.358,0.37,0.387,0.409,0.431,0.43799999999999994,0.461,0.48200000000000004,0.486,0.48700000000000004,0.495,0.49,0.494,0.498,0.51,0.55,0.595,0.644,0.643,0.624,0.627,0.652,0.6659999999999999,0.6759999999999999,0.685,0.6940000000000001,0.6859999999999999,0.674,0.6579999999999999,0.637,0.62,0.634,0.625,0.622
Bhutan,0.01,0.013000000000000001,0.013999999999999999,0.013999999999999999,0.012,0.003,0.004,0.002,0.003,0.004,0.006999999999999999,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,1e-05,1e-05,1e-05,2e-05
Bolivia,0.45299999999999996,0.489,0.44299999999999995,0.469,0.304,0.32899999999999996,0.353,0.368,0.585,0.711,0.85,0.907,0.93,0.975,1.324,1.564,1.604,1.714,1.984,1.92,1.768,1.689,1.811,2.154,2.18,2.693,2.885,3.154,3.215,3.509,4.207,4.466,4.8839999999999995,5.015,5.742000000000001,6.058,6.9079999999999995,6.9479999999999995
Botswana,0.44299999999999995,0.502,0.489,0.434,0.445,0.456,0.5379999999999999,0.846,0.8,0.797,0.852,0.879,1.088,1.0270000000000001,1.044,1.047,0.759,0.87,1.026,1.043,0.89,0.9490000000000001,0.8420000000000001,0.6809999999999999,0.74,0.815,0.746,0.578,0.552,0.41700000000000004,0.5,0.449,0.32899999999999996,0.867,2.173,2.7880000000000003,2.525,2.839
Brazil,7.943,8.7185,7.965560000000001,7.21732,7.3978,8.11408,15.22424,12.15702,10.940660000000001,10.81564,9.51656,10.465019999999999,11.16814,11.16344,11.177539999999999,12.84322,15.48274,17.69926,18.62046,27.47338,28.428,34.688,32.946,30.980999999999998,39.455999999999996,38.758,38.664,36.591,54.953,35.524,60.045,49.13399999999999,75.834,110.29799999999999,134.657,128.12,91.65799999999999,100.435
British Virgin Islands,0.022000000000000002,0.024,0.025,0.024,0.027000000000000003,0.028999999999999998,0.033,0.037000000000000005,0.04,0.040999999999999995,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.04,0.038,0.038,0.042,0.042,0.09300000000000001,0.1,0.10400000000000001,0.11599999999999999,0.15,0.184,0.18,0.185,0.185,0.185,0.18600000000000003,0.188,0.19
Brunei,0.439,0.479,0.534,0.682,0.7809999999999999,0.852,0.9009999999999999,0.938,1.047,1.089,1.163,1.256,1.324,1.454,1.5630000000000002,1.848,1.996,2.263,2.353,2.2880000000000003,2.39,2.424,2.539,3.0,3.068,3.068,3.1,3.1910000000000003,3.218,3.395,3.5639999999999996,3.5,3.6919999999999997,4.136,4.234,3.946,4.013,3.906
Bulgaria,23.37,22.694000000000003,24.967,25.259,26.853,24.595,25.676,26.685,24.733,25.353,24.061999999999998,21.894000000000002,20.675,20.756999999999998,20.05,20.881,20.412,20.789,20.195999999999998,18.258,18.593,20.909000000000002,18.557000000000002,20.691999999999997,20.137999999999998,19.702,20.439,23.845,24.305999999999997,21.988000000000003,23.468000000000004,27.965999999999998,23.925,20.64,22.239,23.094,20.430999999999997,21.844
Burkina Faso,0.098,0.10800000000000001,0.115,0.11699999999999999,0.113,0.115,0.122,0.133,0.14300000000000002,0.153,0.165,0.16899999999999998,0.17,0.158,0.134,0.138,0.149,0.16699999999999998,0.23399999999999999,0.225,0.221,0.27399999999999997,0.301,0.349,0.37200000000000005,0.39,0.44,0.47100000000000003,0.45399999999999996,0.5329999999999999,0.42100000000000004,0.44799999999999995,0.528,0.625,0.78,0.9059999999999999,0.8340000000000001,0.958
Burundi,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.012,0.003,0.019,0.032,0.027000000000000003,0.023,0.02
Cambodia,0.047,0.05,0.052000000000000005,0.061,0.066,0.071,0.075,0.08,0.085,0.08900000000000001,0.091,0.094,0.099,0.10300000000000001,0.10800000000000001,0.212,0.215,0.266,0.308,0.353,0.42,0.478,0.6559999999999999,0.6709999999999999,0.727,0.851,1.044,1.339,1.3319999999999999,1.126,0.888,0.9259999999999999,0.84,0.703,1.119,2.215,2.7539999999999996,3.9560000000000004
