country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,-0.012,-0.05,-0.17,-0.23399999999999999,-0.17600000000000002,-0.155,-0.151,-0.195,-0.204,-0.10300000000000001,-0.048,-0.11,-0.10400000000000001,-0.185,-0.044000000000000004,-0.016,-0.025,-0.019,-0.057,-0.17300000000000001,-0.138,-0.226,-0.215,-0.28600000000000003,-0.22,-0.22399999999999998,-0.28800000000000003,-0.26,-0.289,-0.327,-0.33,-0.239
Australia,-0.359,-0.358,-0.418,-0.33399999999999996,-0.345,-0.5579999999999999,-0.433,-0.491,-0.285,-0.054000000000000006,-0.354,-0.369,-0.364,-0.4,-0.32299999999999995,-0.316,-0.354,-0.33,-0.3,-0.21,-0.21,-0.21600000000000003,-0.023,-0.08800000000000001,-0.085,-0.21100000000000002,-0.07200000000000001,-0.124,-0.10400000000000001,-0.047,-0.034,-0.079,-0.073,-0.10800000000000001,-0.057999999999999996,-0.085,-0.20800000000000002,-0.174
Austria,-0.157,-0.259,-0.249,-0.24,-0.264,-0.29100000000000004,-0.249,-0.305,-0.322,-0.375,-0.42700000000000005,-0.188,-0.231,-0.166,-0.192,-0.127,-0.249,-0.09,-0.133,-0.251,-0.539,-0.5920000000000001,-0.768,-0.8909999999999999,-0.9440000000000001,-1.004,-1.0290000000000001,-0.92,-1.002,-1.188,-1.4280000000000002,-1.546,-1.744,-1.72,-1.719,-1.5330000000000001,-1.216,-1.729
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
