country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.711,0.721,0.7070000000000001,0.746,0.757,0.77,0.713,0.7559999999999999,0.7440000000000001,0.75,0.7559999999999999,0.6829999999999999,0.473,0.47,0.467,0.41200000000000003,0.361,0.322,0.3,0.3,0.312,0.498,0.555,0.63,0.565,0.59,0.637,0.748,0.542,0.7759999999999999,0.7509999999999999,0.595,0.71,0.804,0.895,0.9890000000000001,1.025,1.05
Albania,2.9189999999999996,3.0180000000000002,3.093,3.167,3.241,3.315,3.365,3.9789999999999996,3.713,3.846,2.82,3.483,3.187,3.281,3.733,4.162,5.669,4.978,4.872,5.231,4.548,3.5189999999999997,3.477,5.117,5.4110000000000005,5.319,4.9510000000000005,2.76,3.759,5.2010000000000005,7.672999999999999,4.0360000000000005,4.725,6.959,4.726,5.8660000000000005,7.136,4.48
Algeria,0.248,0.36200000000000004,0.474,0.233,0.516,0.639,0.247,0.491,0.18100000000000002,0.263,0.134,0.29,0.19699999999999998,0.349,0.16399999999999998,0.191,0.134,0.07400000000000001,0.213,0.201,0.053,0.068,0.055999999999999994,0.262,0.248,0.5489999999999999,0.21600000000000003,0.22399999999999998,0.28,0.303,0.172,0.49700000000000005,0.616,0.327,0.251,0.14400000000000002,0.071,0.055
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.53,0.53,0.6,0.6,0.6,0.6,0.66,0.66,0.66,0.667,0.718,0.715,0.8320000000000001,0.8809999999999999,0.8859999999999999,0.8909999999999999,0.9159999999999999,0.866,1.0490000000000002,0.885,0.903,1.0070000000000001,1.1320000000000001,1.229,1.733,2.197,2.638,2.472,3.103,3.063,3.6660000000000004,3.967,3.734,4.718999999999999,5.027,5.079,5.912000000000001,7.776
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,17.413,16.482,18.887,18.507,20.555999999999997,20.54,20.899,21.723000000000003,14.982999999999999,12.935,17.797,16.159000000000002,19.29,23.728,27.206999999999997,26.684,23.033,28.185,26.641,21.718000000000004,29.166,37.273,36.361999999999995,34.475,31.336,34.964,40.371,32.823,31.689,34.893,35.446,41.428999999999995,38.94,42.903999999999996,42.576,39.797,38.638000000000005,41.548
Australia,13.214,14.335,13.960999999999999,12.411,12.375,13.929,14.772,13.863,14.11,15.110999999999999,14.755999999999998,16.433,15.864,17.153,16.862000000000002,16.445999999999998,16.549,17.703,16.666,17.639,17.326,17.747,17.298,17.747,17.746,18.986,19.677,18.146,16.386,14.499,16.279,18.796,17.022000000000002,21.268,21.849,16.932000000000002,18.743,19.538
Austria,28.809,30.323,30.398000000000003,30.104,29.145,31.17,31.42,26.256999999999998,36.146,35.691,32.359,32.367,35.856,37.739000000000004,36.595,38.603,35.677,37.588,38.708,42.053999999999995,43.074,41.938,41.56399999999999,34.821999999999996,38.728,39.189,39.255,41.32899999999999,42.732,45.371,41.536,37.632,47.215,45.468,44.044,40.508,43.45399999999999,41.92100000000001
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,0.625,0.523,0.662,0.662,0.897,0.7390000000000001,0.45,0.512,0.6679999999999999,0.9109999999999999,0.875,0.83,0.7879999999999999,0.602,0.8390000000000001,0.604,0.732,0.7120000000000001,0.856,0.825,0.937,0.983,1.055,1.115,1.214,1.28,1.375,0.742,0.941,0.439,0.784,0.9179999999999999,0.82,0.9440000000000001,0.623,0.601,1.018,1.0390000000000001
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,0.5589999999999999,0.653,0.574,0.539,0.5670000000000001,0.58,0.792,0.93,0.9179999999999999,0.909,0.986,1.033,1.207,1.126,1.225,1.3769999999999998,1.286,1.20095,1.38911,1.5390000000000001,1.791,2.02,2.0180000000000002,1.868,2.261,2.535,3.46,4.026,4.7989999999999995,5.587000000000001,5.987,5.987,6.852,6.544,5.962000000000001,7.077999999999999,7.159,7.4270000000000005
Belize,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.1,0.10800000000000001,0.105,0.115,0.11,0.106,0.105,0.077,0.081,0.083,0.196,0.195,0.21899999999999997,0.203,0.341,0.33899999999999997,0.302,0.336,0.353,0.35700000000000004,0.376,0.38799999999999996
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0017,0.0017,0.0017,0.002,0.002,0.002,0.002,0.001,0.001,0.005,0.004,0.004,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.0051,0.001
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.006,0.006999999999999999,0.008,0.008,0.008,0.008,0.3,1.168,1.5290000000000001,1.5290000000000001,1.541,1.557,1.604,1.604,1.6580000000000001,1.715,1.8519999999999999,1.82,1.7830000000000001,1.7819999999999998,1.7919999999999998,1.921,2.178,2.502,2.329,2.62,4.474,6.494,6.891,6.928,7.255,6.975,6.745,7.531000000000001,7.15,7.731,7.879,7.65
Bolivia,1.115,1.166,1.215,1.198,1.215,1.183,1.165,1.1640000000000001,1.296,1.285,1.272,1.4080000000000001,1.3780000000000001,1.4040000000000001,1.381,1.315,1.492,1.605,1.548,1.827,2.0069999999999997,2.162,2.235,2.021,2.1830000000000003,2.001,2.195,2.358,2.383,2.392,2.276,2.443,2.438,2.7,2.415,2.63,1.9969999999999999,2.48
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,130.359,131.434,142.01,153.061,167.96599999999998,179.636,183.90099999999998,187.378,200.52900000000002,205.965,208.5,219.604,226.00900000000001,237.668,245.666,256.96,269.863,283.561,296.05931,298.436,309.203,274.177,293.45,314.454,330.065,347.673,360.04,388.3,385.67800000000005,409.68,430.751,456.284,446.426,427.475,415.699,404.94800000000004,427.744,419.452
