country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.9420000000000001,0.992,0.9520000000000001,1.0,1.0190000000000001,1.034,1.135,1.218,1.08,1.089,1.0979999999999999,0.9890000000000001,0.685,0.677,0.669,0.608,0.5489999999999999,0.499,0.46,0.455,0.467,0.5920000000000001,0.687,0.9390000000000001,0.894,0.934,0.8370000000000001,0.946,0.72801,0.9381,0.9363,0.8473,0.912,1.052,1.081,1.166,1.21,1.254
Albania,3.635,3.673,3.6919999999999997,3.71,3.737,3.783,3.8139999999999996,4.236000000000001,3.93,4.081,3.141,3.641,3.31,3.4410000000000003,3.858,4.359,5.857,5.125,5.01,5.337000000000001,4.683,3.648,3.641,5.218,5.542999999999999,5.385,5.038,2.8280000000000003,3.759,5.2010000000000005,7.6745,4.0918,4.7259,6.96,4.727,5.867000000000001,7.138,4.481
Algeria,6.683,7.65,8.824,9.615,10.537,11.569,12.214,13.014000000000001,14.08,14.449000000000002,15.145,16.319000000000003,17.199,18.267,18.703,18.09,19.124000000000002,19.739,21.448,23.281999999999996,23.89,25.031,25.991999999999997,27.81,29.386999999999997,31.906999999999996,33.124,34.976,37.836,36.205999999999996,42.9981,48.278,54.178000000000004,56.506,60.599,64.786,66.862,71.483
American Samoa,0.07,0.067,0.067,0.071,0.069,0.083,0.075,0.081,0.091,0.09,0.094,0.102,0.102,0.115,0.122,0.129,0.134,0.141,0.147,0.152,0.159,0.161,0.168,0.177,0.177,0.17800000000000002,0.18100000000000002,0.184,0.187,0.17800000000000002,0.159,0.155,0.157,0.156,0.156,0.163,0.17,0.16699999999999998
Angola,0.905,0.9059999999999999,0.995,1.028,1.028,1.028,1.088,1.097,1.097,1.104,1.169,1.166,1.2830000000000001,1.3319999999999999,1.3419999999999999,1.347,1.3769999999999998,1.331,1.52,1.3,1.4040000000000001,1.591,1.7169999999999999,1.9380000000000002,2.186,2.73,3.241,3.1489999999999996,4.064,4.606,5.317,5.523,6.034,7.976,9.217,9.309,10.203,10.675999999999998
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.001,0.001,0.001,0.001,0.001,0.0
Antigua and Barbuda,0.055999999999999994,0.059000000000000004,0.062,0.068,0.071,0.07200000000000001,0.081,0.085,0.086,0.08800000000000001,0.08900000000000001,0.08900000000000001,0.08900000000000001,0.08900000000000001,0.091,0.092,0.092,0.09300000000000001,0.095,0.095,0.141,0.161,0.18,0.198,0.20800000000000002,0.228,0.243,0.263,0.271,0.308,0.3192,0.3185,0.3105,0.3106,0.3166,0.325,0.32899999999999996,0.331
Argentina,41.858000000000004,40.495,41.086000000000006,41.641000000000005,44.023,43.693000000000005,47.192,50.178000000000004,49.243,48.01,45.56100000000001,48.721000000000004,53.43899999999999,58.909,60.305,64.671,66.74,69.55,71.23100000000001,76.942,85.196,86.485,81.131,88.12700000000001,95.634,100.69200000000001,111.274,110.6431,114.5421,116.0151,119.2901,123.57700000000001,129.105,132.59,131.62,137.809,139.483,138.359
Australia,87.39299999999999,92.911,96.736,98.04799999999999,103.71600000000001,110.425,116.272,121.915,130.92,139.221,146.187,148.36700000000002,150.759,154.64600000000002,158.368,163.84099999999998,168.06766000000002,173.354,185.41,191.63,197.95,211.52200000000002,214.623,213.541,222.987,215.489,219.83,229.391,229.45,234.69799999999998,238.725,239.981,237.283,236.11700000000002,234.635,238.137,242.912,244.543
Austria,40.574,41.233000000000004,41.458,41.191,40.97,43.033,43.295,38.842,47.49100000000001,48.426,47.73,49.507,49.492,50.088,50.71,53.733000000000004,52.019,54.272,54.62,57.615,57.92,58.937,58.403999999999996,55.505,59.306999999999995,61.303000000000004,59.453,60.173,61.974,63.597,63.144,57.632,63.841,60.0034,56.9144,57.2041,60.8991,62.4021
