country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.131,0.1,0.128,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.105,0.43200000000000005,0.609,0.752,1.155,1.5719999999999998,2.246,3.071,3.615,3.71,3.779,4.4,4.611000000000001
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.16699999999999998,0.183,0.2,0.32299999999999995,0.65,0.10400000000000001,0.08199999999999999,0.157,0.15,0.2,0.711,1.069,1.113,1.3,1.8,2.2,1.242,0.47700000000000004,0.371,0.611,2.838,2.434,1.965,1.005,3.475,3.23,2.323,3.25,2.355,1.827,2.915
Algeria,0.07,0.10300000000000001,0.09,0.109,0.16699999999999998,0.121,0.145,0.12,0.191,0.201,0.205,0.135,0.125,0.125,0.067,0.215,0.285,0.312,0.3,0.15,0.25,0.15,0.237,0.223,0.21100000000000002,0.359,0.382,0.27899999999999997,0.27399999999999997,0.33,0.736,0.657,0.9359999999999999,0.295,0.6859999999999999,0.61,0.257,0.537
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.024,0.02,0.051,0.0,0.0,0.0,0.0,0.18,0.311,0.55,0.89,1.097,3.26,2.0,1.2,2.35,3.7,5.265,7.9,6.5,7.245,7.42,8.7,7.577999999999999,7.612,8.017000000000001,7.417999999999999,10.275,8.458,8.601,10.300999999999998,10.929,8.118,8.043,10.027999999999999,9.017999999999999,9.851,9.551
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,3.1639999999999997,2.862,3.125,4.396,5.401,6.051,5.962000000000001,3.997,5.572,5.912000000000001,6.837999999999999,8.503,9.15,8.072000000000001,8.22,7.3,9.427999999999999,9.01,10.305,11.607999999999999,13.824000000000002,14.467,15.375,19.002,16.629,20.397000000000002,21.256999999999998,22.13,19.796,19.542,19.898,24.971999999999998,23.264,24.96,26.712,29.368000000000002,26.366,29.362
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.013000000000000001,0.085,0.168,0.192,0.22699999999999998,0.035,0.07,0.24,0.205,0.276,0.556
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,6.285,5.562,4.6339999999999995,4.038,4.453,5.497000000000001,5.308,5.66,5.707999999999999,5.056,4.785,4.998,5.849,7.59,9.1,9.4,9.637,9.975,7.83,9.059,11.645,15.818,16.658,14.664000000000001,14.567,14.328,18.852999999999998,15.815999999999999,17.158,9.486,12.395,13.189,16.848,17.243,21.791,23.713,14.648,14.189
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.18100000000000002,0.18899999999999997,0.23600000000000002,0.254,0.21,0.225,0.248,0.21600000000000003,0.16,0.171,0.23800000000000002,0.23399999999999999,0.233,0.255,0.243,0.23
Benin,0.11699999999999999,0.136,0.166,0.182,0.16,0.16699999999999998,0.165,0.16899999999999998,0.17,0.185,0.18899999999999997,0.203,0.23800000000000002,0.24,0.242,0.255,0.27,0.27,0.255,0.3,0.37,0.42,0.43700000000000006,0.52,0.578,0.595,0.59,0.579,0.662,0.866,1.006,1.012,1.099,1.077,0.9390000000000001,1.048,1.088,1.11
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.005,0.006,0.006999999999999999,0.004,0.009000000000000001,0.021,0.005,0.005,0.004,0.004,0.003,0.005,0.003,0.003,0.003,0.004,0.004,0.025,0.015,0.021,0.02,0.016,0.024,0.018000000000000002,0.021,0.018000000000000002,0.035,0.022000000000000002,0.009000000000000001,0.064,0.132,0.04,0.059000000000000004,0.11199999999999999,0.192,0.163,0.113,0.20800000000000002
Bolivia,0.002,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.006,0.006,0.012,0.025,0.016,0.019,0.015,0.0,0.008,0.006999999999999999,0.01,0.016,0.01,0.009000000000000001,0.009000000000000001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,0.01,0.08199999999999999,0.16,0.18600000000000003,0.223,0.24,0.07200000000000001,0.07200000000000001,0.065,0.084,0.106,0.08,0.159,0.31,0.34,0.685,0.748,0.6890000000000001,0.85,0.986,1.183,1.473,1.874,1.91,1.975,2.207,2.519,2.728,2.793,2.985,3.139,3.272,2.819,1.6840000000000002,1.4680000000000002,1.673,0.9420000000000001
Brazil,0.142,0.034,0.013999999999999999,3.4,3.1239999999999997,2.4090000000000003,12.6,17.415,17.984,21.906,24.4,27.088,24.55,28.21,33.11,35.46,40.213,40.478,39.412,39.9,43.0,37.86,36.57,38.2,37.391999999999996,39.202,41.446999999999996,40.866,42.901,41.06399999999999,35.906,38.43,40.722,40.334,33.778,34.641999999999996,41.313,36.510999999999996
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,4.698,4.497,4.441,4.582,4.637,7.4510000000000005,5.4270000000000005,5.3260000000000005,5.226,5.434,5.436,3.083,3.15,1.65,1.2,2.0,1.8030000000000002,0.8,0.565,1.7,0.9640000000000001,0.83,2.04,1.2830000000000001,0.741,0.799,1.139,3.0580000000000003,3.097,2.662,1.167,1.449,2.353,3.3510000000000004,4.319,4.25,4.5680000000000005,3.7060000000000004
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.11,0.069,0.096,0.125,0.139,0.124,0.136,0.145,0.385,0.495,0.515,0.532,0.488,0.44299999999999995,0.63,0.645
Burundi,0.039,0.040999999999999995,0.037000000000000005,0.036000000000000004,0.035,0.042,0.026000000000000002,0.012,0.012,0.013000000000000001,0.016,0.023,0.023,0.035,0.043,0.028999999999999998,0.035,0.035,0.028999999999999998,0.035,0.03,0.035,0.035,0.052000000000000005,0.063,0.071,0.075,0.077,0.076,0.092,0.095,0.099,0.099,0.10300000000000001,0.09,0.096,0.1,0.105
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006999999999999999,0.013000000000000001,0.018000000000000002,0.028999999999999998,0.054000000000000006,0.10300000000000001,0.276,0.725,1.357,1.6440000000000001,2.104,2.282,1.8030000000000002,1.526,1.5830000000000002,1.48
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8869999999999998,1.0590000000000002,0.557,0.06,0.21899999999999997,0.046
Canada,4.4,3.278,7.457999999999999,3.641,1.252,1.4280000000000002,3.697,2.4930000000000003,3.9330000000000003,12.363,15.543,1.6880000000000002,1.8359999999999999,2.6919999999999997,0.941,2.468,1.936,7.47,11.683,12.953,12.685,16.105999999999998,15.231,23.585,22.482,18.68,23.405,19.559,23.614,17.517,18.482,14.399000000000001,11.392000000000001,10.695,12.860999999999999,8.708,2.682,3.313
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.19,1.351,1.8,1.7,1.903,2.1519999999999997,2.285,1.6280000000000001,1.1540000000000001,1.348,0.958,0.732,0.0,0.0,0.0,0.0,0.0,0.002
China,0.308,0.237,0.33,0.43,0.8,1.11,1.21,1.3,1.51,1.55,1.93,3.11,4.98,4.5,1.63,0.755,0.124,0.08900000000000001,0.1,0.366,1.546,1.8,2.3,2.975,3.4,5.011,5.388999999999999,4.251,3.842,6.006,5.545,6.562,6.874,7.438,6.749,6.21,6.185,7.61
