country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,13248.4,12955.3,12662.2,12369.2,12076.1,11783.0,11876.3,11969.5,12062.7,12155.9,12249.1,13219.2,14189.3,15159.4,16129.5,17099.5,17698.4,18297.2,18896.1,19494.9,20093.8,21089.2,22084.6,23080.0,24075.4,25070.8,25817.3,26563.8,27310.2,28056.7,28803.2,29789.8,30776.5,31763.2,32749.8,33736.5,34600.2,35463.9,36327.6
Albania,2681.239,2738.3509999999997,2795.4629999999997,2852.574,2909.6859999999997,2966.798,3029.7290000000003,3092.66,3155.592,3218.5229999999997,3281.454,3246.51,3211.567,3176.623,3141.68,3106.736,3109.783,3112.83,3115.8759999999997,3118.923,3121.97,3113.4120000000003,3104.8540000000003,3096.295,3087.737,3079.179,3051.448,3023.717,2995.987,2968.256,2940.525,2937.09,2933.656,2930.2209999999995,2926.7870000000003,2923.3520000000003,2927.0879999999997,2930.825,2934.6
Algeria,19221.66,19863.63,20505.6,21147.57,21789.54,22431.5,23096.97,23762.45,24427.92,25093.4,25758.87,26358.65,26958.44,27558.22,28158.0,28757.79,29214.68,29671.56,30128.46,30585.35,31042.23,31463.73,31885.23,32306.73,32728.23,33149.72,33715.27,34280.82,34846.36,35411.91,35977.45,36727.57,37477.68,38227.8,38977.91,39728.02,40552.63,41377.23,41948.6
Angola,8341.289,8665.431,8989.572,9313.714,9637.855,9961.997,10339.27,10716.55,11093.83,11471.11,11848.39,12267.75,12687.11,13106.48,13525.84,13945.21,14435.26,14925.31,15415.37,15905.42,16395.47,17003.1,17610.72,18218.35,18825.98,19433.6,20218.13,21002.66,21787.19,22571.72,23356.25,24261.87,25167.5,26073.13,26978.75,27884.38,28880.76,29877.14,30840.2
Argentina,27951.94,28397.97,28858.28,29327.88,29801.62,30276.04,30755.44,31241.61,31728.1,32208.14,32675.96,33131.91,33579.73,34020.14,34453.81,34880.85,35299.19,35708.98,36113.69,36516.93,36921.68,37327.6,37732.73,38137.03,38540.62,38942.96,39341.37,39736.48,40132.95,40535.54,40948.95,41375.93,41813.07,42254.7,42694.99,43129.29,43559.05,43987.19,44739.1
Australia,14725.16,14957.45,15208.53,15415.55,15604.19,15816.31,16048.42,16297.86,16575.91,16846.8,17090.42,17309.82,17500.09,17661.79,17832.56,18034.56,18253.04,18447.62,18636.0,18842.42,19060.65,19303.86,19525.72,19749.49,19965.63,20214.91,20504.73,20877.68,21309.95,21736.76,22068.18,22390.94,22784.09,23172.29,23521.28,23862.62,24245.97,24650.62,25041.2
Austria,7550.406,7572.556,7571.651,7561.340999999999,7561.883000000001,7565.422,7570.559,7575.019,7587.566,7625.879,7686.108,7765.893,7851.161999999999,7911.411,7937.96,7949.475,7960.504,7968.81,7978.206999999999,7994.79,8013.911,8047.63,8086.536,8126.710999999999,8179.314,8234.445,8272.226999999999,8298.612,8324.873,8345.402,8366.344000000001,8395.763,8435.458,8486.813,8555.998,8657.143,8745.716999999999,8803.741,8852.6
Bahrain,339.6053,350.8385,362.0717,373.305,384.5382,395.7715,410.2122,424.6529,439.0937,453.6295,468.1652,481.00199999999995,493.8388,506.6756,519.5124,532.3492,551.9819,599.4025,666.0934,733.6783,630.5129,670.5334,710.554,764.5189999999999,823.7439999999999,888.824,960.425,1039.297,1103.496,1178.415,1228.5430000000001,1195.02,1208.964,1253.191,1314.5620000000001,1329.108,1348.412,1369.6470000000002,1391.9
Bangladesh,81470.86,83816.66,86162.46,88508.27,90854.06,93199.87,95797.62,98395.38,100993.1,103590.9,106188.6,108692.3,111195.9,113699.6,116203.2,118706.9,121281.7,123856.6,126431.5,129006.4,131581.3,133951.2,136321.2,138691.2,141061.1,143431.1,145174.7,146918.3,148661.9,150405.5,152149.1,153959.5,155769.8,157580.2,159390.5,161200.9,162915.8,164630.7,166346.0
Barbados,252.19400000000002,252.94,253.68599999999998,254.43200000000002,255.178,255.924,256.814,257.704,258.594,259.48400000000004,260.374,261.291,262.20799999999997,263.125,264.04200000000003,264.959,265.9366,266.9142,267.8918,268.8694,269.847,270.6794,271.5118,272.3442,273.1766,274.009,275.121,276.233,277.345,278.457,279.569,280.4986,281.4282,282.3578,283.2874,284.217,284.8872,285.5574,286.2
Belgium,9860.275,9857.884,9856.731,9854.896,9855.959,9858.455,9862.556,9871.604,9908.151,9940.218,9972.277,10008.87,10050.95,10088.51,10119.34,10138.37,10160.04,10184.0,10205.69,10229.58,10254.29,10292.36,10338.54,10381.21,10427.31,10486.81,10557.1,10635.99,10720.75,10807.35,10940.37,11047.67,11114.69,11164.77,11216.11,11283.43,11336.5,11381.02,11450.8
Belize,144.155,148.3082,152.4614,156.6146,160.7678,164.921,169.4472,173.9734,178.4996,183.0258,187.55200000000002,191.4342,195.3164,199.1986,203.0808,206.963,215.0334,223.1038,231.1742,239.2446,247.315,254.5074,261.6998,268.8922,276.0846,283.277,290.9432,298.6094,306.2756,313.9418,321.608,329.144,336.68,344.216,351.75199999999995,359.288,367.0318,374.7756,382.5
