Country,Value,Percent
China,10593.0,30
United States,5172.0,15
India,2155.0,6
Russia,1767.0,5
Japan,1203.0,3
Germany,826.0,2
"Korea, South",771.0,2
Saudi Arabia,657.0,2
Iran,639.0,2
Canada,633.0,2
Indonesia,513.0,1
South Africa,511.0,1
Brazil,493.0,1
United Kingdom,481.0,1
Mexico,453.0,1
Australia,412.0,1
Turkey,366.0,1
Italy,356.0,1
France,354.0,1
Thailand,342.0,1
Taiwan,326.0,1
Poland,307.0,1
United Arab Emirates,289.0,1
Spain,286.0,1
Kazakhstan,279.0,1
Singapore,255.0,1
Netherlands,249.0,1
Egypt,229.0,1
Ukraine,224.0,1
Vietnam,219.0,1
Malaysia,216.0,1
Argentina,194.0,1
Pakistan,176.0,0
Algeria,139.0,0
Belgium,138.0,0
Venezuela,130.0,0
Iraq,120.0,0
Philippines,111.0,0
Czech Republic,106.0,0
Qatar,102.0,0
Turkmenistan,99.0,0
Kuwait,98.0,0
Hong Kong,98.0,0
Nigeria,97.0,0
Uzbekistan,93.0,0
Colombia,88.0,0
Chile,84.0,0
Bangladesh,79.0,0
Romania,72.0,0
Israel,70.0,0
Oman,68.0,0
Greece,68.0,0
Austria,68.0,0
Belarus,55.0,0
Portugal,55.0,0
Peru,55.0,0
Sweden,53.0,0
Morocco,53.0,0
Hungary,49.0,0
Trinidad and Tobago,49.0,0
Serbia,48.0,0
Finland,47.0,0
Norway,43.0,0
Bulgaria,43.0,0
Libya,43.0,0
Switzerland,40.0,0
Bahrain,38.0,0
Denmark,38.0,0
New Zealand,38.0,0
Ireland,38.0,0
Ecuador,37.0,0
Azerbaijan,35.0,0
Slovakia,34.0,0
Syria,28.0,0
Burma (Myanmar),27.0,0
Panama,25.0,0
Cuba,25.0,0
Jordan,25.0,0
"Korea, North",24.0,0
Sri Lanka,24.0,0
Dominican Republic,23.0,0
Lebanon,23.0,0
Tunisia,23.0,0
Angola,21.0,0
Puerto Rico,19.0,0
Sudan,19.0,0
Bosnia and Herzegovina,19.0,0
Bolivia,18.0,0
Kenya,18.0,0
Croatia,17.0,0
Mongolia,17.0,0
Guatemala,17.0,0
Tanzania,14.0,0
Lithuania,14.0,0
Slovenia,14.0,0
Ghana,13.0,0
Netherlands Antilles,13.0,0
Gibraltar,13.0,0
Ethiopia,12.0,0
Cote dIvoire (IvoryCoast),12.0,0
Zimbabwe,10.0,0
Georgia,10.0,0
Luxembourg,10.0,0
Brunei,9.7,0
Kyrgyzstan,9.7,0
Mozambique,9.7,0
Cambodia,9.6,0
Laos,9.4,0
Honduras,9.3,0
Kosovo,8.9,0
Yemen,8.9,0
Jamaica,8.8,0
Senegal,8.6,0
Afghanistan,8.5,0
Latvia,8.4,0
Cyprus,8.1,0
Malta,7.8,0
Costa Rica,7.7,0
Moldova,7.6,0
Uruguay,7.5,0
El Salvador,7.3,0
Paraguay,7.2,0
Cameroon,7.1,0
Macedonia,6.9,0
Nepal,6.2,0
Papua New Guinea,6.1,0
Mauritius,6.0,0
Botswana,5.8,0
New Caledonia,5.8,0
Tajikistan,5.4,0
Benin,5.4,0
Nicaragua,5.4,0
Estonia,5.3,0
Congo (Brazzaville),5.2,0
Armenia,5.2,0
Uganda,4.7,0
Albania,4.2,0
Gabon,4.0,0
Namibia,3.9,0
Madagascar,3.8,0
Zambia,3.6,0
Burkina Faso,3.4,0
Haiti,3.4,0
Mali,3.4,0
Iceland,3.2,0
Congo (Kinshasa),3.1,0
Palestinian Territories,3.1,0
"Bahamas, The",3.1,0
Equatorial Guinea,3.1,0
Guinea,2.8,0
Reunion,2.7,0
Martinique,2.7,0
Mauritania,2.6,0
Togo,2.6,0
Macau,2.6,0
"Virgin Islands,  U.S.",2.5,0
Fiji,2.4,0
Niger,2.2,0
Montenegro,2.2,0
Guyana,2.1,0
Suriname,2.1,0
Guadeloupe,2.0,0
Guam,2.0,0
Barbados,1.8,0
Maldives,1.7,0
Wake Island,1.4,0
Aruba,1.3,0
South Sudan,1.2,0
Liberia,1.2,0
Seychelles,1.2,0
Swaziland,1.1,0
Malawi,1.1,0
French Polynesia,1.0,0
Rwanda,1.0,0
Sierra Leone,1.0,0
Djibouti,1.0,0
Cape Verde,0.9,0
Somalia,0.9,0
Bermuda,0.8,0
French Guiana,0.8,0
Antigua and Barbuda,0.7,0
Faroe Islands,0.7,0
Lesotho,0.7,0
Cayman Islands,0.6,0
Greenland,0.6,0
"Gambia, The",0.6,0
Bhutan,0.6,0
Belize,0.6,0
Timor-Leste (East Timor),0.5,0
Eritrea,0.5,0
Saint Lucia,0.4,0
Central African Republic,0.4,0
Guinea-Bissau,0.4,0
American Samoa,0.4,0
Chad,0.3,0
Samoa,0.3,0
U.S. Pacific Islands,0.3,0
Grenada,0.3,0
Western Sahara,0.3,0
Saint Kitts and Nevis,0.2,0
Solomon Islands,0.2,0
Saint Vincent/Grenadines,0.2,0
Turks and Caicos Islands,0.2,0
Burundi,0.2,0
Dominica,0.2,0
Comoros,0.2,0
"Virgin Islands, British",0.2,0
Vanuatu,0.2,0
Sao Tome and Principe,0.1,0
Tonga,0.1,0
Saint Pierre and Miquelon,0.1,0
