country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Afghanistan;0,71;0,72;0,71;0,75;0,76;0,77;0,71;0,76;0,74;0,75;0,76;0,68;0,47;0,47;0,47;0,41;0,36;0,32;0,30;0,30;0,31;0,50;0,56;0,63;0,57;0,59;0,64;0,75;0,54;0,78;0,75;0,60;0,71;0,80;0,90;0,99;1,03;1,05;
Albania;2,92;3,02;3,09;3,17;3,24;3,32;3,37;3,98;3,71;3,85;2,82;3,48;3,19;3,28;3,73;4,16;5,67;4,98;4,87;5,23;4,55;3,52;3,48;5,12;5,41;5,32;4,95;2,76;3,76;5,20;7,67;4,04;4,73;6,96;4,73;5,87;7,14;4,48;
Algeria;0,25;0,36;0,47;0,23;0,52;0,64;0,25;0,49;0,18;0,26;0,13;0,29;0,20;0,35;0,16;0,19;0,13;0,07;0,21;0,20;0,05;0,07;0,06;0,26;0,25;0,55;0,22;0,22;0,28;0,30;0,17;0,50;0,62;0,33;0,25;0,14;0,07;0,06;
American Samoa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Angola;0,53;0,53;0,60;0,60;0,60;0,60;0,66;0,66;0,66;0,67;0,72;0,72;0,83;0,88;0,89;0,89;0,92;0,87;1,05;0,89;0,90;1,01;1,13;1,23;1,73;2,20;2,64;2,47;3,10;3,06;3,67;3,97;3,73;4,72;5,03;5,08;5,91;7,78;
Antarctica;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Antigua and Barbuda;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Argentina;17,41;16,48;18,89;18,51;20,56;20,54;20,90;21,72;14,98;12,94;17,80;16,16;19,29;23,73;27,21;26,68;23,03;28,19;26,64;21,72;29,17;37,27;36,36;34,48;31,34;34,96;40,37;32,82;31,69;34,89;35,45;41,43;38,94;42,90;42,58;39,80;38,64;41,55;
Australia;13,21;14,34;13,96;12,41;12,38;13,93;14,77;13,86;14,11;15,11;14,76;16,43;15,86;17,15;16,86;16,45;16,55;17,70;16,67;17,64;17,33;17,75;17,30;17,75;17,75;18,99;19,68;18,15;16,39;14,50;16,28;18,80;17,02;21,27;21,85;16,93;18,74;19,54;
Austria;28,81;30,32;30,40;30,10;29,15;31,17;31,42;26,26;36,15;35,69;32,36;32,37;35,86;37,74;36,60;38,60;35,68;37,59;38,71;42,05;43,07;41,94;41,56;34,82;38,73;39,19;39,26;41,33;42,73;45,37;41,54;37,63;47,22;45,47;44,04;40,51;43,45;41,92;
Bahrain;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Bangladesh;0,63;0,52;0,66;0,66;0,90;0,74;0,45;0,51;0,67;0,91;0,88;0,83;0,79;0,60;0,84;0,60;0,73;0,71;0,86;0,83;0,94;0,98;1,06;1,12;1,21;1,28;1,38;0,74;0,94;0,44;0,78;0,92;0,82;0,94;0,62;0,60;1,02;1,04;
Barbados;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Belgium;0,56;0,65;0,57;0,54;0,57;0,58;0,79;0,93;0,92;0,91;0,99;1,03;1,21;1,13;1,23;1,38;1,29;1,20;1,39;1,54;1,79;2,02;2,02;1,87;2,26;2,54;3,46;4,03;4,80;5,59;5,99;5,99;6,85;6,54;5,96;7,08;7,16;7,43;
Belize;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,08;0,10;0,11;0,11;0,12;0,11;0,11;0,11;0,08;0,08;0,08;0,20;0,20;0,22;0,20;0,34;0,34;0,30;0,34;0,35;0,36;0,38;0,39;
Benin;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;
Bermuda;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Bhutan;0,01;0,01;0,01;0,01;0,01;0,01;0,30;1,17;1,53;1,53;1,54;1,56;1,60;1,60;1,66;1,72;1,85;1,82;1,78;1,78;1,79;1,92;2,18;2,50;2,33;2,62;4,47;6,49;6,89;6,93;7,26;6,98;6,75;7,53;7,15;7,73;7,88;7,65;
Bolivia;1,12;1,17;1,22;1,20;1,22;1,18;1,17;1,16;1,30;1,29;1,27;1,41;1,38;1,40;1,38;1,32;1,49;1,61;1,55;1,83;2,01;2,16;2,24;2,02;2,18;2,00;2,20;2,36;2,38;2,39;2,28;2,44;2,44;2,70;2,42;2,63;2,00;2,48;
Botswana;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
