country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,1.0530785562632696,0.9596774193548387,1.050420168067227,1.019,1.014720314033366,1.097678916827853,1.073127753303965,0.8866995073891625,1.0083333333333335,1.008264462809917,1.0231408034157903,0.7351378772361381,0.9499511750537075,1.0281794383300666,0.9137128917445378,0.9053600606909431,0.9089546707059639,0.9356994699239457,0.9911898446381204,1.0213323138679156,1.2175703243435458,1.1358060747663552,1.317169885371696,0.9570006267531107,1.0453071654033625,1.2432057681641708,1.22997992415793,0.9598794314808098,1.4187285211223997,1.20485313201472,1.2420337004182564,1.2917515521644938,1.1720266587738188,1.0265535468589446,1.0313975904125476,1.136102874955278,1.0455939044033808
Albania,1.0043712172158707,0.9979912956143289,0.9979872525997987,1.000672268907563,1.0208263352368157,0.9960513326752221,1.136769078295342,0.9314152862539958,1.0705148205928237,0.4835324978140484,1.0337552742616034,0.841399416909621,1.1968121968121967,1.1679212507237984,1.066931085770947,1.2964684014869887,0.7469534050179212,1.055662188099808,1.5827272727272728,1.0792647903503734,0.9443853113358169,1.2809242040011273,0.9043114826220856,0.9189978107516416,0.9896770778189518,0.7999465097619685,1.2350384486793713,1.097184623714131,1.0614359733530718,1.0707810320781033,1.1042657114946273,0.8590666037587482,1.0416714341289273,1.0777680140597543,1.0334284549531183,1.0078895463510849,0.9847358121330724
Algeria,1.1349112426035501,1.151943989274542,1.061295745506272,1.0916290971122211,1.081147449492131,1.0678298575263268,1.0750265880305523,1.075096681356237,1.019742345658357,1.0446267432321577,1.0235589759698445,1.076799140708915,1.000285001781261,1.0232210271386852,1.0075878872258963,1.0482244023766754,1.012720801476404,1.100227790432802,1.0938775510204082,1.0661907852044128,1.047271251775208,1.04726850058117,1.0919348871624122,1.0344316449263087,1.1265506653019446,0.9780127925570579,1.052915164802497,1.0764072701605787,0.928360655737705,1.1951297898640296,1.1299316491381528,1.1261605251458013,1.0541789554353125,1.0883596951138919,1.08408055864791,1.0442689370600646,1.077614875737529
American Samoa,0.9571428571428571,1.0,1.0597014925373134,0.9718309859154931,1.2028985507246375,0.9036144578313254,1.0799999999999998,1.123456790123457,0.989010989010989,1.0444444444444445,1.0851063829787235,1.0,1.1274509803921569,1.0608695652173914,1.0573770491803278,1.0387596899224807,1.0522388059701493,1.0425531914893618,1.034013605442177,1.0460526315789473,1.0125786163522013,1.0434782608695654,1.0535714285714284,1.0,1.0056497175141246,1.0168539325842696,1.016574585635359,1.016304347826087,0.951871657754011,0.893258426966292,0.9748427672955975,1.0129032258064516,0.9936305732484075,1.0,1.044871794871795,1.0429447852760736,0.9823529411764707
Angola,1.0013586956521738,1.1058344640434192,1.0208588957055216,1.033653846153846,0.9604651162790697,1.072639225181598,1.0090293453724606,0.9988814317673378,1.0067189249720045,1.0656284760845383,0.9384133611691023,1.1268075639599553,1.0483711747285294,1.0084745762711864,1.0028011204481795,1.0102420856610799,1.12073732718894,1.092105263157895,0.8328313253012049,1.0786618444846292,1.1341156747694887,1.0783444198078342,1.1309115832762164,0.9672727272727274,1.2957393483709272,1.3786266924564798,0.9533497018589967,1.3421633554083885,1.132675438596491,1.1350435624394968,1.0417910447761194,1.0918952108063855,1.3214620431115276,1.155886524822695,1.01006258436618,1.0978009962337505,1.0479194333776007
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00186,1.0,1.0,1.0,2.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.0
Antigua and Barbuda,1.0535714285714286,1.0508474576271187,1.096774193548387,1.0441176470588234,1.0140845070422537,1.1249999999999998,1.0493827160493827,1.011764705882353,1.0232558139534884,1.0113636363636365,1.0,1.0,1.0,1.0224719101123594,1.010989010989011,1.0,1.0108695652173914,1.021505376344086,1.0,1.4842105263157894,1.1418439716312057,1.1180124223602483,1.1,1.0505050505050506,1.0961538461538463,1.0657894736842104,1.0823045267489713,1.0304182509505704,1.136531365313653,1.0363636363636364,0.9978070175438596,0.9748822605965463,1.0003220611916264,1.0193174500965874,1.0265319014529375,1.0123076923076924,1.006079027355623
Argentina,0.9660469534536573,1.0114907006798899,0.9855845346221148,1.0635497689099311,0.9903018097988822,1.04380167500602,1.0805434503973341,1.001613209337635,0.9456181904310753,0.9293908426009417,1.0687238916588062,1.1421510528306644,1.0687759427713501,1.0315450244799307,1.100212280209877,1.0544249881684808,1.0837591492887724,1.0816820643517044,1.0371384814749367,1.0397699843816557,1.0295776378855943,0.9612318792524901,1.091605265336535,1.0574494710098212,1.0592292428697796,1.1050748761468407,1.024601731955394,1.0340665244071996,1.0042409188914625,1.0660517069116267,1.0312397871311776,1.0325554595217517,0.9981398809523809,1.0476230813539795,1.0422562543461034,0.9974631497284715,0.971090353340126
Australia,1.0446137522850165,1.0812438048386508,1.0139775453845805,1.0664687301179805,1.0454545454545454,1.0708786753296158,1.0436855537585656,1.0831138818724138,1.0595264676937834,1.0568611993537258,1.0191427136569082,1.0154859561146699,1.027509580184539,1.0244048115120705,1.0327588778457242,1.0276475376475376,1.033059619793995,1.0641042288880231,1.023761098972619,1.0385578140165852,1.0568453844892607,1.0320110047525224,1.0051162301251246,1.0228335543568217,0.9755071601953578,1.0199563299140089,1.0521331889815853,0.9993760854483572,1.025125909084556,1.0105802792321117,1.0048434970318403,0.9967999928391448,0.9998473433248622,1.0035834890070412,1.0073472163804444,1.0062675455740735,1.0180807719642093
Austria,0.9989109318890915,1.0157645048177506,1.0200742631701092,1.0531793880104652,1.0412053788410651,1.0119294605809128,0.7784725781650436,1.381222017382144,1.0325817523119458,1.022666943655795,1.0662904864010834,0.9971423733118835,0.9803850807735581,1.014897256566269,1.0229139553241877,1.0371258733966002,1.0120060331825038,1.0158181312348475,1.0238272232872963,1.0191073066340568,1.039579271036448,1.0085126336862227,1.033834653695524,1.019892408019235,1.0267125727175588,1.0399431743095016,1.0057978841693938,1.001105513353022,0.959078073482781,1.021811004194424,1.0064229487612886,1.0096449136276393,1.0096700093468307,0.9850313964106732,1.0158921557071268,1.0147701918086587,1.0137362849606992
